Rank,Name,Final score,Country,Industry
413,Bank of England,74.49,United Kingdom,Banking and Financial Services
414,OMV,74.45,Austria,"Oil and Gas Operations, Mining, and Chemicals"
415,Comet,74.43,Switzerland,"Semiconductors, Electronics, Electrical Engineering, Hardware"
416,STEF,74.43,France,Transportation and Logistics
417,Shiseido,74.42,France,Packaged Goods
418,RATP,74.42,France,Transportation and Logistics
419,Finnair,74.39,Finland,Transportation and Logistics
420,ifm-Unternehmensgruppe,74.39,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
421,CBRE,74.38,United Kingdom,Business Services and Supplies
422,Granarolo,74.35,Italy,"Food, Soft Beverages, Alcohol and Tobacco"
423,Havas Group,74.34,France,Media and Advertising
424,Eaton,74.33,Ireland,"Semiconductors, Electronics, Electrical Engineering, Hardware"
425,Lush,74.32,United Kingdom,Retail
426,Octapharma,74.31,Switzerland,Drugs and Biotechnology
427,Agilent Technologies,74.25,Germany,Healthcare Equipment and Services
428,Getinge,74.24,Sweden,Healthcare Equipment and Services
429,BMI,74.17,United Kingdom,Construction
430,HSBC Bank,74.06,United Kingdom,Banking and Financial Services
431,Forvia Hella,74.01,Germany,Automotive (Producers and Suppliers)
432,Vorwerk,73.91,Germany,Packaged Goods
433,Jysk,73.9,Denmark,Retail
434,Italgas,73.9,Italy,Utilities
435,Marks & Spencer,73.89,United Kingdom,Retail
436,ELT Elettronica,73.86,Italy,Healthcare Equipment and Services
437,Uniqa Insurance Group,73.86,Austria,Insurance
438,Aurubis,73.85,Germany,Utilities
439,TD Synnex,73.85,Germany,"IT, Internet, Software and Services"
440,Aareon,73.84,Germany,"IT, Internet, Software and Services"
441,Villeroy & Boch,73.8,Germany,"Manufacture and processing of materials, metals and paper"
442,Caterpillar,73.72,United Kingdom,"Aerospace, Defence, Manufacture of Transport Equipment"
443,Pernod Ricard,73.63,France,"Food, Soft Beverages, Alcohol and Tobacco"
444,Jeff de Bruges,73.63,France,Retail
445,BNP Paribas,73.58,France,Banking and Financial Services
446,Uber,73.56,Netherlands,Travel and Leisure
447,Velux,73.54,Denmark,Construction
448,JD Sports,73.52,United Kingdom,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
449,Toyota Motor Corporation,73.51,Belgium,Automotive (Producers and Suppliers)
450,Johann Bunte,73.46,Germany,Construction
451,Bauhaus,73.44,Germany,Retail
452,Holland & Barrett,73.3,United Kingdom,"Food, Soft Beverages, Alcohol and Tobacco"
453,Teva,73.24,Netherlands,Drugs and Biotechnology
454,Scherdel,73.23,Germany,Automotive (Producers and Suppliers)
455,DSV,73.23,Denmark,Transportation and Logistics
456,Dairygold,73.22,Ireland,"Food, Soft Beverages, Alcohol and Tobacco"
457,OTB Group,73.15,Italy,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
458,Amadeus,73.15,Spain,"IT, Internet, Software and Services"
459,Grupa PZU,73.09,Poland,Insurance
460,Deichmann,73.09,Germany,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
461,Amazon,73.08,Luxembourg,Retail
462,Franke Group,73.08,Switzerland,"Engineering, Manufacturing"
463,Merlin Entertainments,73.08,United Kingdom,Travel and Leisure
464,Hubspot,73.07,Ireland,"IT, Internet, Software and Services"
465,Ingersoll Rand,73.07,Germany,"Engineering, Manufacturing"
466,Spar International,73.06,Netherlands,Retail
467,Booking.com,73.05,Netherlands,Travel and Leisure
468,Baxter,73.04,Switzerland,Drugs and Biotechnology
469,PwC (PricewaterhouseCoopers),73.03,United Kingdom,Consulting and Accounting
470,MÃ¼ller,73.01,Germany,Retail
471,Poujoulat,73.01,France,Construction
472,Olympus,72.98,Germany,Healthcare Equipment and Services
473,Inditex,72.96,Spain,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
474,BDO,72.96,Belgium,Consulting and Accounting
475,TTTech Group,72.95,Austria,"Semiconductors, Electronics, Electrical Engineering, Hardware"
476,eBay,72.94,Germany,"IT, Internet, Software and Services"
477,JCDecaux,72.94,France,Media and Advertising
478,Swarovski,72.86,Switzerland,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
479,Thermo Fisher Scientific,72.84,Germany,Drugs and Biotechnology
480,MAN Truck & Bus,72.8,Germany,"Engineering, Manufacturing"
481,Avery Dennison,72.8,Netherlands,"Manufacture and Processing of Materials, Metals and Paper"
482,The Rehab Group,72.71,Ireland,Healthcare (Social)
483,Trumpf,72.66,Germany,"Manufacture and Processing of Materials, Metals and Paper"
484,Viatris,72.66,United Kingdom,Drugs and Biotechnology
485,Freudenberg,72.59,Germany,"Oil and Gas Operations, Mining, and Chemicals"
